"","TID"
"304","2010100288-7"
"305","2010100289-5"
"306","2010100290-3"
"307","2010100291-1"
"308","2010100292-9"
"309","2010100293-7"
"310","2010100294-5"
"311","2010100295-2"
"312","2010100296-0"
"313","2010100297-8"
"314","2010100298-6"
"315","2010100299-4"
"316","2010100300-0"
"317","2010100301-8"
"318","2010100302-6"
"319","2010100303-4"
"320","2010100304-2"
"321","2010100305-9"
"322","2010100306-7"
"323","2010100307-5"
"324","2010100308-3"
"325","2010100309-1"
"326","2010100310-9"
"327","2010100311-7"
"328","2010100312-5"
"329","2010100313-3"
"330","2010100314-1"
"331","2010100316-6"
"332","2010100317-4"
"333","2010100318-2"
"334","2010100319-0"
"335","2010100320-8"
"336","2010100321-6"
"337","2010100323-2"
"338","2010100324-0"
"339","2010100325-7"
"340","2010100326-5"
"341","2010100327-3"
"342","2010100328-1"
"343","2010100330-7"
"344","2010100331-5"
"345","2010100332-3"
"346","2010100333-1"
"347","2010100334-9"
"348","2010100335-6"
"349","2010100336-4"
"350","2010100337-2"
"351","2010100338-0"
"352","2010100339-8"
"353","2010100340-6"
"354","2010100341-4"
"355","2010100342-2"
"356","2010100343-0"
"357","2010100344-8"
"358","2010100346-3"
"359","2010100347-1"
"360","2010100348-9"
"361","2010100349-7"
"362","2010100350-5"
"363","2010100351-3"
"364","2010100352-1"
"365","2010100354-7"
"366","2010100355-4"
"367","2010100356-2"
"368","2010100357-0"
"369","2010100358-8"
"370","2010100359-6"
"371","2010100360-4"
"372","2010100361-2"
"373","2010100363-8"
"374","2010100364-6"
"375","2010100365-3"
"376","2010100366-1"
"377","2010100367-9"
"378","2010100368-7"
"379","2010100369-5"
"380","2010100370-3"
"381","2010100371-1"
"382","2010100372-9"
"383","2010100373-7"
"384","2010100374-4"
"385","2010100375-2"
"386","2010100376-0"
"387","2010100377-8"
"388","2010100378-6"
"389","2010100379-4"
"390","2010100380-2"
"391","2010100381-0"
"392","2010100382-8"
"393","2010100383-6"
"394","2010100384-4"
"395","2010100385-1"
"396","2010100386-9"
"397","2010100387-7"
"398","2010100388-5"
"399","2010100389-3"
"400","2010100390-1"
"401","2010100391-9"
"402","2010100392-7"
"403","2010100393-5"
"404","2010100394-3"
"405","2010100395-0"
"406","2010100396-8"
"407","2010100397-6"
"408","2010100398-4"
"409","2010100399-2"
"410","2010100400-8"
"411","2010100401-6"
"412","2010100402-4"
"413","2010100403-2"
"414","2010100404-0"
"415","2010100405-7"
"416","2010100406-5"
"417","2010100407-3"
