"","Country","CAD_System","Score","% Above","Correct.rate","Sensitivity","Specificity","PPV","NPV"
"188","Pooled","qXR",0.89,0.19,0.85,"0.62(0.6-0.63)","0.89(0.88-0.89)","0.49(0.48-0.51)","0.93(0.93-0.93)"
"189","Pooled","qXR",0.9,0.17,0.86,"0.57(0.56-0.59)","0.9(0.9-0.91)","0.52(0.5-0.53)","0.92(0.92-0.93)"
"190","Pooled","qXR",0.91,0.15,0.86,"0.53(0.51-0.55)","0.92(0.92-0.93)","0.54(0.52-0.56)","0.92(0.91-0.92)"
"191","Pooled","qXR",0.92,0.12,0.87,"0.46(0.45-0.48)","0.94(0.93-0.94)","0.57(0.55-0.59)","0.91(0.9-0.91)"
"192","Pooled","qXR",0.93,0.1,0.87,"0.39(0.37-0.41)","0.96(0.95-0.96)","0.62(0.59-0.64)","0.9(0.89-0.9)"
"193","Pooled","qXR",0.94,0.07,0.87,"0.3(0.28-0.31)","0.97(0.97-0.98)","0.66(0.63-0.68)","0.89(0.88-0.89)"
"194","Pooled","qXR",0.95,0.04,0.87,"0.2(0.18-0.21)","0.99(0.98-0.99)","0.72(0.68-0.75)","0.87(0.87-0.88)"
"195","Pooled","qXR",0.96,0.02,0.86,"0.09(0.08-0.1)","0.99(0.99-1)","0.75(0.7-0.79)","0.86(0.86-0.87)"
"196","Pooled","qXR",0.97,0,0.85,"0.02(0.02-0.03)","1(1-1)","0.75(0.65-0.84)","0.85(0.85-0.86)"
"197","Pooled","qXR",0.98,0,0.85,"0(0-0)","1(1-1)","1(0.29-1)","0.85(0.85-0.86)"
"198","Pooled","qXR",0.99,0,0.85,"0(0-0)","1(1-1)","NaN(0-1)","0.85(0.85-0.86)"
"199","Pooled","qXR",1,0,0.85,"0(0-0)","1(1-1)","NaN(0-1)","0.85(0.85-0.86)"
