FileName,TID,Folder,Option
2020100092-2,2020100092-2,1st Batch\Dhanmondi_TBSTC,
2020100093-0,2020100093-0,1st Batch\Dhanmondi_TBSTC,
2020100094-8,2020100094-8,1st Batch\Dhanmondi_TBSTC,
2020100095-5,2020100095-5,1st Batch\Dhanmondi_TBSTC,
2020100096-3,2020100096-3,1st Batch\Dhanmondi_TBSTC,
2020100097-1,2020100097-1,1st Batch\Dhanmondi_TBSTC,
2020100098-9,2020100098-9,1st Batch\Dhanmondi_TBSTC,
2020100099-7,2020100099-7,1st Batch\Dhanmondi_TBSTC,
2020100101-1,2020100101-1,1st Batch\Dhanmondi_TBSTC,
2020100103-7,2020100103-7,1st Batch\Dhanmondi_TBSTC,
2020100104-5,2020100104-5,1st Batch\Dhanmondi_TBSTC,
2020100105-2,2020100105-2,1st Batch\Dhanmondi_TBSTC,
2020100106-0,2020100106-0,1st Batch\Dhanmondi_TBSTC,
2020100107-8,2020100107-8,1st Batch\Dhanmondi_TBSTC,
2020100108-6,2020100108-6,1st Batch\Dhanmondi_TBSTC,
2020100109-4,2020100109-4,1st Batch\Dhanmondi_TBSTC,
2020100110-2,2020100110-2,1st Batch\Dhanmondi_TBSTC,
2020100111-0,2020100111-0,1st Batch\Dhanmondi_TBSTC,
2020100112-8,2020100112-8,1st Batch\Dhanmondi_TBSTC,
2020100113-6,2020100113-6,1st Batch\Dhanmondi_TBSTC,
2020100114-4,2020100114-4,1st Batch\Dhanmondi_TBSTC,
2020100115-1,2020100115-1,1st Batch\Dhanmondi_TBSTC,
2020100116-9,2020100116-9,1st Batch\Dhanmondi_TBSTC,
2020100117-7,2020100117-7,1st Batch\Dhanmondi_TBSTC,
2020100118-5,2020100118-5,1st Batch\Dhanmondi_TBSTC,
2020100119-3,2020100119-3,1st Batch\Dhanmondi_TBSTC,
2020100120-1,2020100120-1,1st Batch\Dhanmondi_TBSTC,
2020100121-9,2020100121-9,1st Batch\Dhanmondi_TBSTC,
2020100122-7,2020100122-7,1st Batch\Dhanmondi_TBSTC,
2020100123-5,2020100123-5,1st Batch\Dhanmondi_TBSTC,
2020100124-3,2020100124-3,1st Batch\Dhanmondi_TBSTC,
2020100125-0,2020100125-0,1st Batch\Dhanmondi_TBSTC,
2020100126-8,2020100126-8,1st Batch\Dhanmondi_TBSTC,
2020100127-6,2020100127-6,1st Batch\Dhanmondi_TBSTC,
2020100128-4,2020100128-4,1st Batch\Dhanmondi_TBSTC,
2020100130-0,2020100130-0,1st Batch\Dhanmondi_TBSTC,
2020100131-8,2020100131-8,1st Batch\Dhanmondi_TBSTC,
2020100132-6,2020100132-6,1st Batch\Dhanmondi_TBSTC,
2020100133-4,2020100133-4,1st Batch\Dhanmondi_TBSTC,
2020100134-2,2020100134-2,1st Batch\Dhanmondi_TBSTC,
2020100135-9,2020100135-9,1st Batch\Dhanmondi_TBSTC,
2020100136-7,2020100136-7,1st Batch\Dhanmondi_TBSTC,
2020100137-5,2020100137-5,1st Batch\Dhanmondi_TBSTC,
2020100138-3,2020100138-3,1st Batch\Dhanmondi_TBSTC,
2020100139-1,2020100139-1,1st Batch\Dhanmondi_TBSTC,
2020100140-9,2020100140-9,1st Batch\Dhanmondi_TBSTC,
2020100141-7,2020100141-7,1st Batch\Dhanmondi_TBSTC,
2020100142-5,2020100142-5,1st Batch\Dhanmondi_TBSTC,
2020100143-3,2020100143-3,1st Batch\Dhanmondi_TBSTC,
2020100144-1,2020100144-1,1st Batch\Dhanmondi_TBSTC,
2020100145-8,2020100145-8,1st Batch\Dhanmondi_TBSTC,
2020100146-6,2020100146-6,1st Batch\Dhanmondi_TBSTC,
2020100147-4,2020100147-4,1st Batch\Dhanmondi_TBSTC,
2020100148-2,2020100148-2,1st Batch\Dhanmondi_TBSTC,
2020100150-8,2020100150-8,1st Batch\Dhanmondi_TBSTC,
2020100151-6,2020100151-6,1st Batch\Dhanmondi_TBSTC,
2020100152-4,2020100152-4,1st Batch\Dhanmondi_TBSTC,
2020100153-2,2020100153-2,1st Batch\Dhanmondi_TBSTC,
2020100154-0,2020100154-0,1st Batch\Dhanmondi_TBSTC,
2020100155-7,2020100155-7,1st Batch\Dhanmondi_TBSTC,
2020100156-5,2020100156-5,1st Batch\Dhanmondi_TBSTC,
2020100157-3,2020100157-3,1st Batch\Dhanmondi_TBSTC,
2020100158-1,2020100158-1,1st Batch\Dhanmondi_TBSTC,
2020100159-9,2020100159-9,1st Batch\Dhanmondi_TBSTC,
2020100160-7,2020100160-7,1st Batch\Dhanmondi_TBSTC,
2020100161-5,2020100161-5,1st Batch\Dhanmondi_TBSTC,
2020100162-3,2020100162-3,1st Batch\Dhanmondi_TBSTC,
2020100163-1,2020100163-1,1st Batch\Dhanmondi_TBSTC,
2020100164-9,2020100164-9,1st Batch\Dhanmondi_TBSTC,
2020100165-6,2020100165-6,1st Batch\Dhanmondi_TBSTC,
2020100166-4,2020100166-4,1st Batch\Dhanmondi_TBSTC,
2020100167-2,2020100167-2,1st Batch\Dhanmondi_TBSTC,
2020100168-0,2020100168-0,1st Batch\Dhanmondi_TBSTC,
2020100169-8,2020100169-8,1st Batch\Dhanmondi_TBSTC,
2020100171-4,2020100171-4,1st Batch\Dhanmondi_TBSTC,
2020100172-2,2020100172-2,1st Batch\Dhanmondi_TBSTC,
2020100173-0,2020100173-0,1st Batch\Dhanmondi_TBSTC,
2020100174-8,2020100174-8,1st Batch\Dhanmondi_TBSTC,
2020100175-5,2020100175-5,1st Batch\Dhanmondi_TBSTC,
2020100176-3,2020100176-3,1st Batch\Dhanmondi_TBSTC,
2020100177-1,2020100177-1,1st Batch\Dhanmondi_TBSTC,
2020100178-9,2020100178-9,1st Batch\Dhanmondi_TBSTC,
2020100179-7,2020100179-7,1st Batch\Dhanmondi_TBSTC,
2020100180-5,2020100180-5,1st Batch\Dhanmondi_TBSTC,
