"Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","Score","accuracy","Site","DeepLearningSystem","X","Sen_95CI","Spe_95CI","Sensitivity","Specificity","Index","PPV","NPV","XpertSaved","nnt","CAD_Pos"
0.8683844,0.85792297,0.87834351,0.78315078,0.77427836,0.79183056,64,0.812,"MDF","CAD4TBv7",0.21684922,"85.792-87.83435%","77.4278-79.1831%","86.8% (85.792-87.83435%)","78.3% (77.4278-79.1831%)","CAD4TBv7_64",0.484360609561816,0.962073831756792,0.659359096158378,2.06457746616651,0.340640903841622
0.86583101,0.85528895,0.87587429,0.78722908,0.77841517,0.79584757,65,0.813,"MDF","CAD4TBv7",0.21277092,"85.529-87.58743%","77.8415-79.5848%","86.6% (85.529-87.58743%)","78.7% (77.8415-79.5848%)","CAD4TBv7_65",0.488367969527144,0.961558926425947,0.663147665851547,2.04763633652763,0.336852334148453
0.86327762,0.85265616,0.87340383,0.79142391,0.78267151,0.79997801,66,0.815,"MDF","CAD4TBv7",0.20857609,"85.266-87.34038%","78.2672-79.9978%","86.3% (85.266-87.34038%)","79.1% (78.2672-79.9978%)","CAD4TBv7_66",0.492606099261066,0.961055382694034,0.667030619138284,2.03001952574288,0.332969380861716
0.86072423,0.85002457,0.87093218,0.79480308,0.78610124,0.80330431,67,0.817,"MDF","CAD4TBv7",0.20519692,"85.002-87.09322%","78.6101-80.3304%","86.1% (85.002-87.09322%)","79.5% (78.6101-80.3304%)","CAD4TBv7_67",0.495948559626628,0.960518788279196,0.670252887270046,2.01633814755475,0.329747112729954
0.85793872,0.84715508,0.8682345,0.79829876,0.7896502,0.80674434,68,0.818,"MDF","CAD4TBv7",0.20170124,"84.716-86.82345%","78.9650-80.6744%","85.8% (84.716-86.82345%)","79.8% (78.9650-80.6744%)","CAD4TBv7_68",0.49943372695072,0.959930082104507,0.673613642987947,2.00226766042709,0.326386357012053
0.85352832,0.84261448,0.8639604,0.80272664,0.79414698,0.81110027,69,0.82,"MDF","CAD4TBv7",0.19727336,"84.261-86.39604%","79.4147-81.1100%","85.4% (84.261-86.39604%)","80.3% (79.4147-81.1100%)","CAD4TBv7_69",0.503694474285873,0.958955676393297,0.678038195402396,1.98533049507398,0.321961804597604
0.85097493,0.83998722,0.86148441,0.80598928,0.79746145,0.81430885,70,0.821,"MDF","CAD4TBv7",0.19401072,"83.999-86.14844%","79.7461-81.4309%","85.1% (83.999-86.14844%)","80.6% (79.7461-81.4309%)","CAD4TBv7_70",0.507114289316242,0.958431924126575,0.681166079940589,1.97194206723761,0.318833920059411
0.8454039,0.83425872,0.85607854,0.81018411,0.80172425,0.81843283,71,0.822,"MDF","CAD4TBv7",0.18981589,"83.426-85.60785%","80.1724-81.8433%","84.5% (83.426-85.60785%)","81.0% (80.1724-81.8433%)","CAD4TBv7_71",0.510935686638823,0.957158255754455,0.685622385130762,1.95719349059071,0.314377614869238
0.84076137,0.82948872,0.85156989,0.81437893,0.8059886,0.82255527,72,0.823,"MDF","CAD4TBv7",0.18562107,"82.949-85.15699%","80.5989-82.2555%","84.1% (82.949-85.15699%)","81.4% (80.5989-82.2555%)","CAD4TBv7_72",0.515142957819875,0.956145470330984,0.689902274350647,1.94120871657079,0.310097725649353
0.83611885,0.824722,0.84705796,0.81915637,0.81084714,0.82724834,73,0.825,"MDF","CAD4TBv7",0.18084363,"82.472-84.70580%","81.0847-82.7248%","83.6% (82.472-84.70580%)","81.9% (81.0847-82.7248%)","CAD4TBv7_73",0.520270847449059,0.955175648603858,0.694654081538371,1.92207578976047,0.305345918461629
0.83379759,0.82233983,0.84480079,0.82393381,0.8157078,0.83193929,74,0.827,"MDF","CAD4TBv7",0.17606619,"82.234-84.48008%","81.5708-83.1939%","83.4% (82.234-84.48008%)","82.4% (81.5708-83.1939%)","CAD4TBv7_74",0.526255950318308,0.954821106996906,0.698964848800376,1.90021604391389,0.301035151199624
0.82938719,0.81781585,0.84051005,0.8289443,0.82080791,0.83685671,75,0.829,"MDF","CAD4TBv7",0.1710557,"81.782-84.05100%","82.0808-83.6857%","82.9% (81.782-84.05100%)","82.9% (82.0808-83.6857%)","CAD4TBv7_75",0.532127597956486,0.953944856576618,0.703861319182664,1.87924851828823,0.296138680817336
0.82636955,0.81472207,0.8375727,0.83430436,0.82626659,0.84211446,76,0.832,"MDF","CAD4TBv7",0.16569564,"81.472-83.75727%","82.6267-84.2114%","82.6% (81.472-83.75727%)","83.4% (82.6267-84.2114%)","CAD4TBv7_76",0.539139581425848,0.95345529371667,0.708776316390225,1.85480724185623,0.291223683609775
0.82126277,0.80948927,0.83259896,0.83896528,0.83101568,0.84668402,77,0.833,"MDF","CAD4TBv7",0.16103472,"80.949-83.25990%","83.1016-84.6684%","82.1% (80.949-83.25990%)","83.9% (83.1016-84.6684%)","CAD4TBv7_77",0.544683708131712,0.952405004952963,0.713521947969525,1.83592786982751,0.286478052030475
0.81499536,0.80307191,0.82649011,0.84269401,0.8348166,0.850338,78,0.833,"MDF","CAD4TBv7",0.15730599,"80.307-82.64901%","83.4817-85.0338%","81.5% (80.307-82.64901%)","84.3% (83.4817-85.0338%)","CAD4TBv7_78",0.54859099608935,0.951025130312461,0.717733030763142,1.82285164563133,0.282266969236858
0.81104921,0.79903392,0.82264121,0.84595665,0.83814366,0.85353398,79,0.834,"MDF","CAD4TBv7",0.15404335,"79.903-82.26412%","83.8144-85.3534%","81.1% (79.903-82.26412%)","84.6% (83.8144-85.3534%)","CAD4TBv7_79",0.552576051680177,0.950215810870786,0.721125539256767,1.80970564496846,0.278874460743233
0.80501393,0.79286191,0.81675093,0.8487532,0.84099637,0.85627245,80,0.834,"MDF","CAD4TBv7",0.1512468,"79.286-81.67509%","84.0996-85.6272%","80.5% (79.286-81.67509%)","84.9% (84.0996-85.6272%)","CAD4TBv7_80",0.555257489957491,0.948867579529088,0.724537449309269,1.80096625094883,0.275462550690731
0.79781801,0.78550867,0.8097222,0.85388021,0.8462287,0.86129062,81,0.835,"MDF","CAD4TBv7",0.14611979,"78.551-80.97222%","84.6229-86.1291%","79.8% (78.551-80.97222%)","85.4% (84.6229-86.1291%)","CAD4TBv7_81",0.561547177515856,0.947381438360971,0.730057551195989,1.7807942770254,0.269942448804011
0.7906221,0.7781614,0.8026875,0.85784199,0.85027401,0.86516614,82,0.835,"MDF","CAD4TBv7",0.14215801,"77.816-80.26875%","85.0274-86.5166%","79.1% (77.816-80.26875%)","85.8% (85.0274-86.5166%)","CAD4TBv7_82",0.566078898904298,0.945848121470261,0.734633817147029,1.76653820153975,0.265366182852971
0.78690808,0.77437151,0.79905443,0.8619203,0.85444034,0.86915361,83,0.837,"MDF","CAD4TBv7",0.1380797,"77.437-79.90544%","85.4440-86.9154%","78.7% (77.437-79.90544%)","86.2% (85.4440-86.9154%)","CAD4TBv7_83",0.57206228436911,0.945186687136022,0.738642906803058,1.74806140401798,0.261357093196942
0.78133705,0.76868948,0.79360202,0.86646469,0.85908534,0.87359426,84,0.838,"MDF","CAD4TBv7",0.13353531,"76.869-79.36020%","85.9085-87.3594%","78.1% (76.869-79.36020%)","86.6% (85.9085-87.3594%)","CAD4TBv7_84",0.578502861895614,0.94411225935798,0.743382362773934,1.72859991863003,0.256617637226066
0.77460539,0.76182805,0.78700933,0.870543,0.86325629,0.8775771,85,0.838,"MDF","CAD4TBv7",0.129457,"76.183-78.70093%","86.3256-87.7577%","77.5% (76.183-78.70093%)","87.1% (86.3256-87.7577%)","CAD4TBv7_85",0.583946319979444,0.942744664505344,0.747964804333399,1.71248617515939,0.252035195666601
0.76833798,0.75544399,0.78086713,0.87636914,0.86921885,0.88326281,86,0.84,"MDF","CAD4TBv7",0.12363086,"75.544-78.08671%","86.9219-88.3263%","76.8% (75.544-78.08671%)","87.6% (86.9219-88.3263%)","CAD4TBv7_86",0.593129872958712,0.94161393304652,0.753874791811238,1.68597139613234,0.246125208188762
0.75998143,0.74693797,0.77267148,0.8817292,0.87470884,0.88848923,87,0.841,"MDF","CAD4TBv7",0.1182708,"74.694-77.26715%","87.4709-88.8489%","76.0% (74.694-77.26715%)","88.2% (87.4709-88.8489%)","CAD4TBv7_87",0.601161468506606,0.939979892869247,0.759804180847954,1.6634465986055,0.240195819152046
0.75092851,0.73773064,0.76378531,0.88755535,0.88068134,0.89416498,88,0.842,"MDF","CAD4TBv7",0.11244465,"73.773-76.37853%","88.0681-89.4165%","75.1% (73.773-76.37853%)","88.8% (88.0681-89.4165%)","CAD4TBv7_88",0.610363202716112,0.938239491426908,0.766243416236657,1.6383687541287,0.233756583763343
0.74001857,0.72664465,0.75306631,0.89361454,0.88689878,0.90006172,89,0.842,"MDF","CAD4TBv7",0.10638546,"72.664-75.30663%","88.6899-90.0062%","74.0% (72.664-75.30663%)","89.4% (88.6899-90.0062%)","CAD4TBv7_89",0.620011300776162,0.936116240847988,0.773224250753072,1.61287382786112,0.226775749246928
0.72725162,0.71368502,0.74050946,0.90060592,0.89408102,0.90685737,90,0.843,"MDF","CAD4TBv7",0.0993940800000001,"71.369-74.05095%","89.4081-90.6857%","72.7% (71.369-74.05095%)","90.1% (89.4081-90.6857%)","CAD4TBv7_90",0.631851915471271,0.933672941528272,0.781312985958605,1.58264931309758,0.218687014041395
0.7137883,0.70003339,0.72725278,0.90689816,0.90055326,0.91296522,91,0.842,"MDF","CAD4TBv7",0.09310184,"70.003-72.72528%","90.0553-91.2965%","71.4% (70.003-72.72528%)","90.7% (90.0553-91.2965%)","CAD4TBv7_91",0.642649480436753,0.931074211589373,0.788967731580447,1.55605820971082,0.211032268419553
0.6961467,0.68216713,0.70985986,0.91260778,0.90643358,0.91850015,92,0.84,"MDF","CAD4TBv7",0.08739222,"68.217-70.98599%","90.6434-91.8500%","69.6% (68.217-70.98599%)","91.3% (90.6434-91.8500%)","CAD4TBv7_92",0.651387559663273,0.927558152220312,0.796944431100745,1.53518436937441,0.203055568899255
0.67618384,0.66197879,0.69014965,0.92192962,0.91605087,0.92751997,93,0.84,"MDF","CAD4TBv7",0.07807038,"66.198-69.01496%","91.6051-92.7520%","67.6% (66.198-69.01496%)","92.2% (91.6051-92.7520%)","CAD4TBv7_93",0.670145695371811,0.923882247868299,0.808288061947368,1.49221282313121,0.191711938052632
0.6492572,0.63479374,0.663518,0.92962014,0.92400291,0.93494351,94,0.836,"MDF","CAD4TBv7",0.07037986,"63.479-66.35180%","92.4003-93.4944%","64.9% (63.479-66.35180%)","93.0% (92.4003-93.4944%)","CAD4TBv7_94",0.683934270816304,0.918693981591396,0.819633442261199,1.46212880779678,0.180366557738801
0.6174559,0.60275125,0.6320011,0.9385924,0.93330417,0.94358038,95,0.831,"MDF","CAD4TBv7",0.0614076,"60.275-63.20011%","93.3304-94.3580%","61.7% (60.275-63.20011%)","93.9% (93.3304-94.3580%)","CAD4TBv7_95",0.702255982108406,0.912739095543371,0.832943225948288,1.4239821738473,0.167056774051712
0.57126277,0.55632425,0.58610457,0.94884642,0.94397242,0.95341274,96,0.823,"MDF","CAD4TBv7",0.05115358,"55.632-58.61046%","94.3972-95.3413%","57.1% (55.632-58.61046%)","94.9% (94.3972-95.3413%)","CAD4TBv7_96",0.723723380678021,0.904167513757257,0.850025676704086,1.38174339353684,0.149974323295914
0.51207057,0.49702423,0.52710052,0.95910044,0.95469315,0.96319246,97,0.81,"MDF","CAD4TBv7",0.0408995599999999,"49.702-52.71005%","95.4693-96.3192%","51.2% (49.702-52.71005%)","95.9% (95.4693-96.3192%)","CAD4TBv7_97",0.745988940387159,0.89338898036391,0.869577951043914,1.34050244696793,0.130422048956086
0.42734448,0.41250967,0.44227789,0.97319972,0.96955977,0.9765134,98,0.791,"MDF","CAD4TBv7",0.02680028,"41.251-44.22779%","96.9560-97.6513%","42.7% (41.251-44.22779%)","97.3% (96.9560-97.6513%)","CAD4TBv7_98",0.789043237113449,0.878714753219109,0.897096323154399,1.26735767187904,0.102903676845601
0.29085422,0.27732192,0.30467064,0.98811466,0.98559039,0.99029882,99,0.755,"MDF","CAD4TBv7",0.01188534,"27.732-30.46706%","98.5590-99.0299%","29.1% (27.732-30.46706%)","98.8% (98.5590-99.0299%)","CAD4TBv7_99",0.85163799689081,0.855912549682167,0.935110570763406,1.17420782498061,0.064889429236594
0,0,0.00085592,1,0.99957025,1,100,0.666,"MDF","CAD4TBv7",0,"0.000-0.08559%","99.9570-100.0000%","0.0% (0.000-0.08559%)","100.0% (99.9570-100.0000%)","CAD4TBv7_100",NA,0.81,1,NA,0
