"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved%","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","ppv","PPV_L","PPV_H","npv","NPV_L","NPV_H","X"
"MDF","qXRv3",44,"93.4% (92.650-94.15258%)","67.1% (66.1235-68.1226%)","58.8% (57.616668-59.96275%)","95.3% (94.7545030-95.836559%)","1.7 (1.7-1.7)",0.46889061,0.93430826,0.92649529,0.94152582,0.67128874,0.66123521,0.68122586,0.58793456,0.57616668,0.59962749,0.9531767,0.94754503,0.95836559,0.32871126
"MDF","qXRv3",45,"93.3% (92.479-93.99864%)","67.6% (66.5579-68.5502%)","59.1% (57.891316-60.24262%)","95.2% (94.6712110-95.757981%)","1.7 (1.7-1.7)",0.47230411,0.93268338,0.92478725,0.93998645,0.67560009,0.66557882,0.68550202,0.59070862,0.57891316,0.60242625,0.95236531,0.94671211,0.95757981,0.32439991
"MDF","qXRv3",46,"93.1% (92.308-93.84458%)","67.9% (66.8749-68.8622%)","59.3% (58.082428-60.43795%)","95.1% (94.5803810-95.673375%)","1.7 (1.7-1.7)",0.47494182,0.9310585,0.92308046,0.93844583,0.67874621,0.66874909,0.68862185,0.59264184,0.58082428,0.60437953,0.95148644,0.94580381,0.95673375,0.32125379
"MDF","qXRv3",47,"93.0% (92.211-93.75649%)","68.3% (67.2859-69.2665%)","59.5% (58.364192-60.72397%)","95.1% (94.5462920-95.639348%)","1.7 (1.6-1.7)",0.47796742,0.93012999,0.9221057,0.93756492,0.68282452,0.67285945,0.69266532,0.59548224,0.58364192,0.60723975,0.95114429,0.94546292,0.95639348,0.31717548
"MDF","qXRv3",48,"92.9% (92.064-93.62428%)","68.6% (67.6031-69.5784%)","59.8% (58.565989-60.92969%)","95.0% (94.4734130-95.570856%)","1.7 (1.6-1.7)",0.48052754,0.92873723,0.92064428,0.93624284,0.68597064,0.67603091,0.69578396,0.59752091,0.58565989,0.60929693,0.95043591,0.94473413,0.95570856,0.31402936
"MDF","qXRv3",49,"92.6% (91.821-93.40375%)","69.1% (68.1318-70.0981%)","60.1% (58.906845-61.27702%)","94.9% (94.3537730-95.458191%)","1.7 (1.6-1.7)",0.48479441,0.92641597,0.91821045,0.93403749,0.69121417,0.68131782,0.70098055,0.60096371,0.58906845,0.61277024,0.94927188,0.94353773,0.95458191,0.30878583
"MDF","qXRv3",50,"92.5% (91.699-93.29340%)","69.6% (68.6489-70.6060%)","60.5% (59.274968-61.65023%)","94.9% (94.3142100-95.418283%)","1.7 (1.6-1.7)",0.48859581,0.92525534,0.91699438,0.93293396,0.69634118,0.68648868,0.70606022,0.60467233,0.59274968,0.61650231,0.94887266,0.9431421,0.95418283,0.30365882
"MDF","qXRv3",51,"92.3% (91.481-93.09462%)","70.0% (69.0485-70.9984%)","60.7% (59.531864-61.91223%)","94.8% (94.2037040-95.314658%)","1.6 (1.6-1.7)",0.49193173,0.9231662,0.91480685,0.93094623,0.70030296,0.69048532,0.70998445,0.60726829,0.59531864,0.61912233,0.94780003,0.94203704,0.95314658,0.29969704
"MDF","qXRv3",52,"92.1% (91.238-92.87356%)","70.4% (69.4365-71.3792%)","61.0% (59.776764-62.16236%)","94.7% (94.0783710-95.197431%)","1.6 (1.6-1.7)",0.49526765,0.92084494,0.91237827,0.92873561,0.70414822,0.69436523,0.71379243,0.60974485,0.59776764,0.6216236,0.94658521,0.94078371,0.95197431,0.29585178
"MDF","qXRv3",53,"92.0% (91.116-92.76295%)","71.0% (69.9775-71.9099%)","61.4% (60.178363-62.56890%)","94.6% (94.0437290-95.161704%)","1.6 (1.6-1.7)",0.4992242,0.91968431,0.91116474,0.92762952,0.70950827,0.69977497,0.71909915,0.61378776,0.60178363,0.62568899,0.94623155,0.94043729,0.95161704,0.29049173
"MDF","qXRv3",54,"91.7% (90.874-92.54159%)","71.2% (70.2598-72.1867%)","61.5% (60.345323-62.74027%)","94.5% (93.9130230-95.040102%)","1.6 (1.6-1.7)",0.50186191,0.91736305,0.90873919,0.92541587,0.71230482,0.70259809,0.72186723,0.61548045,0.60345323,0.62740269,0.94496831,0.93913023,0.95040102,0.28769518
"MDF","qXRv3",55,"91.6% (90.728-92.40867%)","71.7% (70.6951-72.6134%)","61.9% (60.663861-63.06312%)","94.4% (93.8566420-94.985209%)","1.6 (1.6-1.6)",0.50519783,0.91597029,0.90728478,0.92408674,0.71661617,0.70695127,0.72613381,0.61868924,0.60663861,0.63063124,0.94441032,0.93856642,0.94985209,0.28338383
"MDF","qXRv3",56,"91.4% (90.510-92.20918%)","72.3% (71.3777-73.2820%)","62.4% (61.174561-63.58026%)","94.4% (93.7758810-94.906086%)","1.6 (1.6-1.6)",0.51039566,0.91388115,0.90510443,0.92209179,0.7233745,0.71377734,0.7328198,0.62383141,0.61174561,0.63580265,0.94360845,0.93775881,0.94906086,0.2766255
"MDF","qXRv3",57,"91.2% (90.268-91.98734%)","72.8% (71.8251-73.7199%)","62.7% (61.490222-63.90110%)","94.3% (93.6630410-94.799214%)","1.6 (1.6-1.6)",0.51411947,0.91155989,0.90268354,0.91987344,0.72780238,0.71825105,0.73719882,0.62701581,0.61490222,0.63901099,0.94250792,0.93663041,0.94799214,0.27219762
