"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved%","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","ppv","PPV_L","PPV_H","npv","NPV_L","NPV_H","X"
"MDF","qXRv2",0,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)","33.4% (32.606865-34.24314%)","NA (0.0000000-100.000000%)","3 (2.9-3.1)",0,1,0.99914408,1,0,0,0.00042975,0.33421257,0.32606865,0.3424314,NA,0,1,1
"MDF","qXRv2",1,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)","33.4% (32.606865-34.24314%)","NA (0.0000000-100.000000%)","3 (2.9-3.1)",0,1,0.99914408,1,0,0,0.00042975,0.33421257,0.32606865,0.3424314,NA,0,1,1
"MDF","qXRv2",2,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)","33.4% (32.606865-34.24314%)","NA (0.0000000-100.000000%)","3 (2.9-3.1)",0,1,0.99914408,1,0,0,0.00042975,0.33421257,0.32606865,0.3424314,NA,0,1,1
"MDF","qXRv2",3,"100.0% (99.914-100.00000%)","0.2% (0.1154-0.3170%)","33.5% (32.650186-34.28808%)","100.0% (80.4935680-100.000000%)","3 (2.9-3.1)",0.00131884999999998,1,0.99914408,1,0.00198089,0.00115435,0.00316971,0.33465393,0.32650186,0.34288081,1,0.80493568,1,0.99801911
"MDF","qXRv2",4,"100.0% (99.871-99.99941%)","1.5% (1.2991-1.8340%)","33.8% (32.943698-34.59272%)","99.3% (95.9122960-99.981108%)","3 (2.9-3)",0.01039566,0.99976787,0.99870736,0.99999412,0.01549755,0.01299146,0.01833993,0.33764503,0.32943698,0.34592721,0.99253731,0.95912296,0.99981108,0.98450245
"MDF","qXRv2",5,"99.9% (99.797-99.98564%)","4.1% (3.6697-4.5185%)","34.3% (33.506901-35.17709%)","99.2% (97.5365700-99.824395%)","2.9 (2.8-3)",0.02738557,0.99930362,0.99796625,0.99985637,0.04078303,0.03669678,0.04518466,0.34338358,0.33506901,0.35177092,0.99150142,0.9753657,0.99824395,0.95921697
"MDF","qXRv2",6,"99.8% (99.665-99.93465%)","8.1% (7.4846-8.6476%)","35.3% (34.428551-36.13294%)","99.0% (97.9446870-99.595872%)","2.8 (2.8-2.9)",0.0541505,0.99837512,0.996655,0.99934647,0.08051736,0.07484558,0.08647582,0.35277231,0.34428551,0.36132945,0.98997135,0.97944687,0.99595872,0.91948264
"MDF","qXRv2",7,"99.8% (99.604-99.90443%)","12.0% (11.3555-12.7440%)","36.3% (35.418059-37.15789%)","99.1% (98.3667410-99.604312%)","2.8 (2.7-2.8)",0.08083786,0.99791086,0.99603789,0.99904428,0.12036821,0.11355537,0.12743994,0.36284605,0.35418059,0.37157894,0.99136276,0.98366741,0.99604312,0.87963179
"MDF","qXRv2",8,"99.5% (99.284-99.71620%)","16.4% (15.6629-17.2428%)","37.4% (36.533270-38.31386%)","98.6% (97.8497010-99.144261%)","2.7 (2.6-2.7)",0.11101629,0.99535747,0.99283906,0.99716199,0.16441389,0.15662868,0.17242763,0.37420368,0.3653327,0.38313862,0.98602376,0.97849701,0.99144261,0.83558611
"MDF","qXRv2",9,"99.4% (99.145-99.62411%)","20.7% (19.8301-21.5555%)","38.6% (37.712801-39.53393%)","98.6% (97.9565130-99.099222%)","2.6 (2.5-2.7)",0.13964313,0.99419684,0.99144524,0.99624109,0.20682825,0.19830138,0.2155546,0.38620379,0.37712801,0.39533935,0.98611111,0.97956513,0.99099222,0.79317175
"MDF","qXRv2",10,"99.3% (99.007-99.52968%)","24.4% (23.5402-25.3702%)","39.8% (38.824614-40.68289%)","98.6% (97.9935330-99.046864%)","2.5 (2.5-2.6)",0.16508922,0.99303621,0.99007357,0.99529677,0.24446516,0.23540222,0.25370189,0.39750976,0.38824614,0.40682886,0.98590226,0.97993533,0.99046864,0.75553484
"MDF","qXRv2",11,"99.1% (98.818-99.39458%)","27.2% (26.2571-28.1513%)","40.6% (39.662203-41.54844%)","98.4% (97.8553860-98.898930%)","2.5 (2.4-2.5)",0.18394104,0.99141133,0.9881809,0.99394578,0.27196458,0.26257074,0.28151346,0.40602719,0.39662203,0.41548441,0.98439477,0.97855386,0.9889893,0.72803542
"MDF","qXRv2",12,"98.8% (98.420-99.09723%)","29.9% (28.9208-30.8692%)","41.4% (40.474103-42.38874%)","98.0% (97.4023860-98.512535%)","2.4 (2.4-2.5)",0.2030256,0.98792943,0.98420085,0.99097234,0.29888138,0.28920773,0.30869174,0.41428989,0.40474103,0.42388736,0.98012992,0.97402386,0.98512535,0.70111862
"MDF","qXRv2",13,"98.5% (98.107-98.85407%)","32.2% (31.1840-33.1721%)","42.2% (41.198589-43.13779%)","97.7% (97.1161310-98.251033%)","2.4 (2.3-2.4)",0.21916214,0.98514392,0.98106823,0.98854071,0.32171988,0.31184031,0.33172061,0.42165922,0.41198589,0.43137789,0.97734513,0.97116131,0.98251033,0.67828012
"MDF","qXRv2",14,"98.3% (97.900-98.69007%)","34.4% (33.4384-35.4605%)","43.0% (41.972916-43.93674%)","97.6% (97.0148120-98.134972%)","2.3 (2.3-2.4)",0.23491078,0.98328691,0.97899836,0.98690066,0.34444186,0.3343843,0.35460512,0.42952748,0.41972916,0.43936744,0.97622193,0.97014812,0.98134972,0.65555814
"MDF","qXRv2",15,"98.2% (97.720-98.54554%)","36.1% (35.0470-37.0902%)","43.5% (42.537228-44.51894%)","97.5% (96.9075430-98.024620%)","2.3 (2.2-2.4)",0.24623739,0.98166202,0.97719718,0.98545545,0.36063855,0.35046974,0.37090205,0.43526142,0.42537228,0.44518939,0.97511027,0.96907543,0.9802462,0.63936145
"MDF","qXRv2",16,"98.0% (97.566-98.42101%)","37.6% (36.5757-38.6367%)","44.1% (43.093008-45.09184%)","97.4% (96.8362480-97.945005%)","2.3 (2.2-2.3)",0.25694337,0.98026927,0.97565975,0.98421014,0.37601958,0.36575672,0.38636667,0.44090624,0.43093008,0.45091836,0.97433575,0.96836248,0.97945005,0.62398042
"MDF","qXRv2",17,"97.8% (97.362-98.25414%)","38.9% (37.8504-39.9245%)","44.6% (43.550972-45.56443%)","97.3% (96.6885700-97.806124%)","2.2 (2.2-2.3)",0.26609775,0.97841226,0.97361804,0.98254142,0.3888371,0.3785043,0.39924543,0.44556025,0.43550972,0.45564433,0.9728863,0.9668857,0.97806124,0.6111629
"MDF","qXRv2",18,"97.7% (97.158-98.08643%)","40.2% (39.1955-41.2819%)","45.1% (44.049168-46.07816%)","97.2% (96.5574780-97.679424%)","2.2 (2.2-2.3)",0.27571761,0.97655525,0.97158462,0.98086426,0.40235376,0.39195532,0.41281855,0.45062125,0.44049168,0.46078165,0.97158132,0.96557478,0.97679424,0.59764624
"MDF","qXRv2",19,"97.6% (97.082-98.02334%)","41.5% (40.4950-42.5916%)","45.6% (44.571126-46.61483%)","97.2% (96.5758110-97.678219%)","2.2 (2.1-2.2)",0.28463926,0.97585887,0.97082403,0.98023336,0.41540433,0.40495029,0.42591585,0.45591584,0.44571126,0.46614829,0.9716544,0.96575811,0.97678219,0.58459567
"MDF","qXRv2",20,"97.5% (97.006-97.96015%)","42.7% (41.6908-43.7954%)","46.1% (45.061457-47.11877%)","97.2% (96.5850390-97.671426%)","2.2 (2.1-2.2)",0.29286268,0.97516249,0.97006442,0.97960146,0.4274062,0.41690767,0.43795405,0.46088865,0.45061457,0.47118773,0.97165563,0.96585039,0.97671426,0.5725938
"MDF","qXRv2",21,"97.4% (96.905-97.87574%)","43.8% (42.7710-44.8818%)","46.5% (45.506479-47.57626%)","97.1% (96.5578700-97.635959%)","2.1 (2.1-2.2)",0.3003879,0.97423398,0.96905309,0.97875743,0.43824283,0.42770955,0.44881808,0.46540253,0.45506479,0.47576263,0.97133264,0.9655787,0.97635959,0.56175717
"MDF","qXRv2",22,"97.3% (96.754-97.74884%)","44.7% (43.6889-45.8043%)","46.9% (45.876596-47.95727%)","97.0% (96.4668230-97.548658%)","2.1 (2.1-2.2)",0.30698216,0.97284123,0.96753907,0.97748837,0.44744815,0.43688933,0.45804267,0.4691593,0.45876596,0.47957275,0.97043215,0.96466823,0.97548658,0.55255185
"MDF","qXRv2",23,"97.1% (96.578-97.60036%)","45.5% (44.4910-46.6097%)","47.2% (46.195169-48.28559%)","96.9% (96.3450330-97.436320%)","2.1 (2.1-2.2)",0.3128782,0.97121634,0.96577692,0.97600355,0.45548823,0.4449101,0.4660966,0.47239472,0.46195169,0.48285591,0.96925366,0.96345033,0.9743632,0.54451177
"MDF","qXRv2",24,"96.9% (96.352-97.40883%)","46.3% (45.2701-47.3914%)","47.5% (46.496570-48.59673%)","96.8% (96.1755900-97.283021%)","2.1 (2.1-2.2)",0.31877424,0.96912721,0.96351739,0.97408833,0.46329527,0.45270103,0.47391445,0.47545838,0.4649657,0.48596734,0.96763203,0.9617559,0.97283021,0.53670473
"MDF","qXRv2",25,"96.8% (96.176-97.25943%)","47.3% (46.2007-48.3246%)","47.9% (46.886074-48.99752%)","96.7% (96.0746850-97.186092%)","2.1 (2-2.1)",0.32552366,0.96750232,0.96176433,0.97259431,0.47261711,0.46200703,0.48324578,0.47941109,0.46886074,0.48997524,0.96663489,0.96074685,0.97186092,0.52738289
"MDF","qXRv2",26,"96.6% (96.001-97.10968%)","47.9% (46.8523-48.9776%)","48.2% (47.150736-49.27035%)","96.5% (95.9556160-97.076336%)","2.1 (2-2.1)",0.33041117,0.96587744,0.96001478,0.97109676,0.47914239,0.46852344,0.48977551,0.48209941,0.47150736,0.49270355,0.96548486,0.95955616,0.97076336,0.52085761
"MDF","qXRv2",27,"96.4% (95.852-96.98105%)","48.7% (47.6439-49.7702%)","48.6% (47.492585-49.62187%)","96.5% (95.8756370-96.998515%)","2.1 (2-2.1)",0.33615206,0.96448468,0.95851777,0.9698105,0.48706595,0.47643864,0.49770205,0.48556737,0.47492585,0.49621872,0.96468959,0.95875637,0.96998515,0.51293405
"MDF","qXRv2",28,"96.4% (95.802-96.93812%)","49.6% (48.4939-50.6208%)","49.0% (47.893286-50.03244%)","96.5% (95.8968750-97.007766%)","2 (2-2.1)",0.34197052,0.96402043,0.95801927,0.96938124,0.49557213,0.4849388,0.50620846,0.48962509,0.47893286,0.50032444,0.96483666,0.95896875,0.97007766,0.50442787
"MDF","qXRv2",29,"96.4% (95.752-96.89517%)","50.1% (49.0646-51.1917%)","49.2% (48.162300-50.30816%)","96.5% (95.8955180-97.000586%)","2 (2-2.1)",0.34592708,0.96355617,0.95752103,0.96895172,0.50128175,0.49064611,0.51191653,0.49234966,0.481623,0.50308162,0.96479031,0.95895518,0.97000586,0.49871825
"MDF","qXRv2",30,"96.1% (95.478-96.65851%)","50.7% (49.6588-51.7856%)","49.5% (48.391478-50.54544%)","96.3% (95.6908570-96.816359%)","2 (2-2.1)",0.35073701,0.96100279,0.9547849,0.96658513,0.50722442,0.49658783,0.51785611,0.49468276,0.48391478,0.50545444,0.96284008,0.95690857,0.96816359,0.49277558
"MDF","qXRv2",31,"95.9% (95.255-96.46438%)","51.4% (50.3813-52.5075%)","49.8% (48.701500-50.86481%)","96.1% (95.5476640-96.683632%)","2 (2-2.1)",0.35624515,0.95891365,0.95255124,0.96464379,0.51444885,0.50381311,0.52507477,0.4978308,0.487015,0.50864812,0.9614547,0.95547664,0.96683632,0.48555115
"MDF","qXRv2",32,"95.8% (95.131-96.35634%)","52.0% (50.8942-53.0196%)","50.0% (48.933287-51.10307%)","96.1% (95.4794650-96.618489%)","2 (2-2)",0.36004655,0.95775302,0.95131212,0.96356345,0.51957586,0.50894207,0.53019634,0.50018184,0.48933287,0.51103068,0.96078431,0.95479465,0.96618489,0.48042414
"MDF","qXRv2",33,"95.5% (94.884-96.13991%)","52.6% (51.5238-53.6480%)","50.3% (49.197879-51.37614%)","95.9% (95.3140880-96.466511%)","2 (1.9-2)",0.36501164,0.95543175,0.94883753,0.9613991,0.5258681,0.51523823,0.53648039,0.50287111,0.49197879,0.51376137,0.95919235,0.95314088,0.96466511,0.4741319
"MDF","qXRv2",34,"95.4% (94.760-96.03152%)","53.2% (52.1769-54.2995%)","50.6% (49.509764-51.69610%)","95.9% (95.2621350-96.413926%)","2 (1.9-2)",0.36974399,0.95427112,0.94760196,0.96031519,0.53239338,0.52176935,0.54299541,0.50603151,0.49509764,0.51696105,0.95866555,0.95262135,0.96413926,0.46760662
"MDF","qXRv2",35,"95.2% (94.563-95.85786%)","53.7% (52.6436-54.7648%)","50.8% (49.708193-51.90093%)","95.7% (95.1324190-96.294454%)","2 (1.9-2)",0.3734678,0.95241411,0.94562731,0.95857865,0.5370543,0.52643555,0.54764788,0.50804854,0.49708193,0.51900933,0.95741587,0.95132419,0.96294454,0.4629457
"MDF","qXRv2",36,"95.1% (94.439-95.74919%)","54.3% (53.2503-55.3695%)","51.1% (50.003072-52.20338%)","95.7% (95.0801000-96.241878%)","2 (1.9-2)",0.37788984,0.95125348,0.94439452,0.95749194,0.54311349,0.53250299,0.55369471,0.51103629,0.50003072,0.52203383,0.9568877,0.950801,0.96241878,0.45688651
"MDF","qXRv2",37,"95.0% (94.292-95.61866%)","54.9% (53.8572-55.9740%)","51.4% (50.296051-52.50408%)","95.6% (95.0085390-96.172200%)","1.9 (1.9-2)",0.38238945,0.94986072,0.94291648,0.95618657,0.54917269,0.53857201,0.55973996,0.51400578,0.50296051,0.52504079,0.95617772,0.95008539,0.961722,0.45082731
"MDF","qXRv2",38,"94.9% (94.218-95.55333%)","55.5% (54.4292-56.5435%)","51.7% (50.592515-52.80742%)","95.6% (94.9965630-96.155813%)","1.9 (1.9-2)",0.38642358,0.94916435,0.94217798,0.95553335,0.55488231,0.54429233,0.56543501,0.51700594,0.50592515,0.52807419,0.95603293,0.94996563,0.96155813,0.44511769
"MDF","qXRv2",39,"94.7% (93.996-95.35717%)","56.0% (54.9780-57.0896%)","52.0% (50.842732-53.06515%)","95.5% (94.8625480-96.031014%)","1.9 (1.9-2)",0.39076804,0.94707521,0.9399645,0.95357169,0.56035889,0.54978048,0.57089629,0.51954667,0.50842732,0.53065151,0.95473496,0.94862548,0.96031014,0.43964111
"MDF","qXRv2",40,"94.7% (93.972-95.33535%)","56.6% (55.5036-57.6124%)","52.2% (51.132920-53.36137%)","95.5% (94.8880460-96.048558%)","1.9 (1.9-2)",0.3943367,0.94684308,0.93971874,0.95335354,0.56560242,0.55503632,0.57612396,0.52247983,0.5113292,0.53361366,0.95494787,0.94888046,0.96048558,0.43439758
"MDF","qXRv2",41,"94.5% (93.824-95.20439%)","56.9% (55.8775-57.9841%)","52.4% (51.308625-53.54217%)","95.4% (94.8017600-95.967879%)","1.9 (1.9-1.9)",0.39728472,0.94545032,0.93824492,0.95204393,0.56933116,0.55877453,0.57984069,0.5242631,0.51308625,0.53542173,0.95411053,0.9480176,0.95967879,0.43066884
"MDF","qXRv2",42,"94.5% (93.726-95.11702%)","57.4% (56.3682-58.4718%)","52.7% (51.565950-53.80558%)","95.4% (94.7659490-95.931088%)","1.9 (1.9-1.9)",0.40085337,0.94452182,0.93726305,0.95117016,0.57422512,0.56368184,0.58471798,0.5268678,0.5156595,0.53805581,0.95374492,0.94765949,0.95931088,0.42577488
"MDF","qXRv2",43,"94.3% (93.530-94.94210%)","57.9% (56.8590-58.9594%)","52.9% (51.801555-54.04791%)","95.3% (94.6537600-95.825888%)","1.9 (1.9-1.9)",0.40473235,0.94266481,0.93530091,0.94942104,0.57911909,0.56859021,0.58959422,0.52925844,0.51801555,0.54047909,0.95265478,0.9465376,0.95825888,0.42088091
"MDF","qXRv2",44,"94.2% (93.408-94.83268%)","58.5% (57.4318-59.5282%)","53.2% (52.107351-54.36084%)","95.2% (94.6081030-95.779423%)","1.9 (1.8-1.9)",0.40892164,0.94150418,0.93407562,0.94832678,0.58482871,0.57431796,0.59528183,0.53235333,0.52107351,0.54360838,0.95219124,0.94608103,0.95779423,0.41517129
"MDF","qXRv2",45,"94.0% (93.236-94.67935%)","58.9% (57.8995-59.9924%)","53.5% (52.342091-54.60188%)","95.1% (94.5165870-95.692750%)","1.9 (1.8-1.9)",0.41256788,0.93987929,0.9323615,0.94679353,0.58948963,0.57899475,0.59992371,0.53473323,0.52342091,0.54601879,0.95129748,0.94516587,0.9569275,0.41051037
"MDF","qXRv2",46,"93.8% (93.089-94.54781%)","59.5% (58.4257-60.5145%)","53.8% (52.621416-54.88797%)","95.1% (94.4505680-95.628348%)","1.9 (1.8-1.9)",0.41652444,0.93848654,0.93089342,0.94547814,0.59473316,0.58425729,0.60514468,0.53756149,0.52621416,0.54887969,0.95064258,0.94450568,0.95628348,0.40526684
"MDF","qXRv2",47,"93.5% (92.772-94.26246%)","59.9% (58.8468-60.9321%)","53.9% (52.796459-55.06985%)","94.9% (94.2476340-95.441361%)","1.9 (1.8-1.9)",0.42032583,0.9354689,0.9277161,0.94262458,0.59892799,0.5884682,0.60932056,0.5393469,0.52796459,0.55069849,0.94868955,0.94247634,0.95441361,0.40107201
"MDF","qXRv2",48,"93.4% (92.601-94.10861%)","60.3% (59.2446-61.3264%)","54.1% (52.996977-55.27591%)","94.8% (94.1556520-95.354436%)","1.8 (1.8-1.9)",0.42350659,0.93384401,0.92600715,0.94108613,0.60288977,0.5924459,0.61326373,0.5413807,0.52996977,0.55275915,0.94779264,0.94155652,0.95354436,0.39711023
"MDF","qXRv2",49,"93.2% (92.357-93.88861%)","60.8% (59.7478-61.8250%)","54.4% (53.246615-55.53278%)","94.6% (94.0207580-95.227506%)","1.8 (1.8-1.9)",0.42761831,0.93152275,0.92356799,0.93888613,0.60790026,0.59747754,0.61824966,0.54391434,0.53246615,0.55532781,0.94648041,0.94020758,0.95227506,0.39209974
"MDF","qXRv2",50,"93.0% (92.235-93.77852%)","61.2% (60.1691-62.2423%)","54.6% (53.479591-55.77119%)","94.6% (93.9700780-95.177548%)","1.8 (1.8-1.9)",0.43079907,0.93036212,0.92234936,0.93778519,0.61209508,0.60169095,0.62242305,0.54627232,0.53479591,0.55771194,0.94597515,0.93970078,0.95177548,0.38790492
"MDF","qXRv2",51,"92.8% (92.016-93.58020%)","61.7% (60.7076-62.7755%)","54.9% (53.764754-56.06377%)","94.5% (93.8603730-95.072842%)","1.8 (1.8-1.9)",0.43506594,0.92827298,0.92015733,0.93580196,0.61745514,0.60707592,0.62775455,0.54916232,0.53764754,0.56063771,0.94490014,0.93860373,0.95072842,0.38254486
"MDF","qXRv2",52,"92.6% (91.748-93.33754%)","62.2% (61.1994-63.2621%)","55.2% (54.011451-56.31776%)","94.3% (93.7136480-94.934718%)","1.8 (1.8-1.9)",0.43917766,0.92571959,0.91748074,0.93337544,0.6223491,0.61199379,0.63262128,0.5516669,0.54011451,0.56317759,0.94347288,0.93713648,0.94934718,0.3776509
"MDF","qXRv2",53,"92.3% (91.481-93.09462%)","62.7% (61.6913-63.7487%)","55.4% (54.261841-56.57545%)","94.2% (93.5698250-94.798971%)","1.8 (1.8-1.8)",0.44328937,0.9231662,0.91480685,0.93094623,0.62724307,0.61691277,0.6374869,0.55420847,0.54261841,0.56575446,0.9420721,0.93569825,0.94798971,0.37275693
"MDF","qXRv2",54,"92.2% (91.384-93.00622%)","63.2% (62.2067-64.2583%)","55.7% (54.575700-56.89547%)","94.2% (93.5504350-94.776440%)","1.8 (1.8-1.8)",0.44701319,0.9222377,0.91383517,0.93006223,0.63237008,0.62206719,0.64258302,0.55737935,0.545757,0.56895474,0.94186047,0.93550435,0.9477644,0.36762992
"MDF","qXRv2",55,"92.0% (91.189-92.82932%)","63.7% (62.6637-64.7099%)","56.0% (54.829401-57.15549%)","94.1% (93.4581330-94.687854%)","1.8 (1.7-1.8)",0.45065943,0.92038069,0.9118928,0.92829323,0.63691447,0.62663692,0.64709899,0.55994916,0.54829401,0.57155491,0.94095369,0.93458133,0.94687854,0.36308553
"MDF","qXRv2",56,"91.9% (90.995-92.65229%)","64.2% (63.2145-65.2540%)","56.3% (55.150088-57.48344%)","94.0% (93.3764140-94.607995%)","1.8 (1.7-1.8)",0.4549263,0.91852368,0.90995172,0.92652294,0.64239105,0.63214533,0.65254001,0.56319385,0.55150088,0.57483435,0.94014325,0.93376414,0.94607995,0.35760895
"MDF","qXRv2",57,"91.6% (90.680-92.36435%)","64.7% (63.6600-65.6938%)","56.5% (55.371796-57.71234%)","93.8% (93.2033430-94.445286%)","1.8 (1.7-1.8)",0.45888285,0.91550604,0.90680013,0.92364355,0.64681892,0.63659999,0.65693809,0.56544803,0.55371796,0.57712335,0.93846154,0.93203343,0.94445286,0.35318108
"MDF","qXRv2",58,"91.3% (90.414-92.12047%)","65.3% (64.2815-66.3071%)","56.9% (55.731818-58.08090%)","93.7% (93.0834870-94.329525%)","1.8 (1.7-1.8)",0.46384794,0.91295265,0.90413586,0.92120467,0.65299464,0.64281466,0.66307065,0.56909275,0.55731818,0.58080899,0.93728048,0.93083487,0.94329525,0.34700536
"MDF","qXRv2",59,"90.9% (90.002-91.74312%)","65.8% (64.7389-66.7582%)","57.1% (55.944524-58.30178%)","93.5% (92.8531960-94.113467%)","1.8 (1.7-1.8)",0.4681924,0.9090065,0.90002259,0.91743124,0.65753904,0.64738891,0.6675821,0.57126185,0.55944524,0.58301781,0.93504557,0.92853196,0.94113467,0.34246096
"MDF","qXRv2",60,"90.6% (89.640-91.40977%)","66.2% (65.2082-67.2208%)","57.4% (56.181913-58.54706%)","93.3% (92.6604910-93.931462%)","1.7 (1.7-1.8)",0.47245927,0.90552461,0.89639729,0.91409767,0.66219995,0.65208151,0.67220817,0.57367647,0.56181913,0.58547059,0.93316913,0.92660491,0.93931462,0.33780005
"MDF","qXRv2",61,"90.3% (89.422-91.20958%)","66.8% (65.7714-67.7758%)","57.7% (56.529465-58.90209%)","93.2% (92.5756340-93.847911%)","1.7 (1.7-1.8)",0.4768813,0.90343547,0.89422385,0.91209578,0.66779306,0.65771406,0.67775801,0.57719116,0.56529465,0.58902086,0.93232471,0.92575634,0.93847911,0.33220694
"MDF","qXRv2",62,"89.8% (88.868-90.69742%)","67.4% (66.3935-68.3884%)","58.0% (56.836688-59.22048%)","92.9% (92.2809280-93.569519%)","1.7 (1.7-1.8)",0.48277735,0.89809656,0.88867516,0.90697418,0.67396877,0.66393518,0.68388413,0.58032098,0.56836688,0.59220478,0.92945525,0.92280928,0.93569519,0.32603123
"MDF","qXRv2",63,"89.6% (88.627-90.47450%)","67.9% (66.8984-68.8853%)","58.3% (57.146817-59.53768%)","92.8% (92.1800280-93.471335%)","1.7 (1.7-1.7)",0.48688906,0.8957753,0.8862651,0.90474497,0.67897926,0.66898394,0.68885293,0.58345933,0.57146817,0.59537685,0.92845762,0.92180028,0.93471335,0.32102074
"MDF","qXRv2",64,"89.4% (88.482-90.34068%)","68.4% (67.3917-69.3705%)","58.7% (57.478805-59.87565%)","92.8% (92.1404540-93.430106%)","1.7 (1.7-1.7)",0.49061288,0.89438254,0.88481975,0.90340676,0.68387322,0.67391655,0.69370492,0.58681084,0.57478805,0.59875648,0.92805187,0.92140454,0.93430106,0.31612678
"MDF","qXRv2",65,"89.2% (88.193-90.07289%)","68.9% (67.9555-69.9249%)","59.0% (57.831349-60.23616%)","92.7% (92.0185640-93.311790%)","1.7 (1.7-1.7)",0.49526765,0.89159703,0.88193052,0.90072886,0.68946632,0.67955535,0.69924851,0.59037811,0.57831349,0.60236165,0.92684837,0.92018564,0.9331179,0.31053368
"MDF","qXRv2",66,"88.5% (87.544-89.46966%)","69.6% (68.6136-70.5714%)","59.4% (58.167460-60.58472%)","92.4% (91.6868220-92.997109%)","1.7 (1.7-1.7)",0.50170675,0.88532962,0.8754367,0.89469662,0.69599161,0.68613607,0.70571392,0.59380352,0.5816746,0.6058472,0.92361218,0.91686822,0.92997109,0.30400839
"MDF","qXRv2",67,"88.2% (87.231-89.17889%)","70.2% (69.2249-71.1715%)","59.8% (58.565561-60.99136%)","92.2% (91.5626420-92.875776%)","1.7 (1.6-1.7)",0.50674942,0.88231198,0.87231332,0.89178894,0.7020508,0.69224881,0.71171545,0.59782951,0.58565561,0.60991358,0.92238212,0.91562642,0.92875776,0.2979492
"MDF","qXRv2",68,"87.8% (86.775-88.75356%)","70.6% (69.5894-71.5292%)","60.0% (58.734138-61.16787%)","92.0% (91.3270460-92.652469%)","1.7 (1.6-1.7)",0.51062839,0.87790158,0.86775199,0.88753561,0.70566302,0.69589391,0.71529232,0.59955612,0.58734138,0.61167873,0.92008508,0.91327046,0.92652469,0.29433698
"MDF","qXRv2",69,"87.4% (86.367-88.37265%)","71.2% (70.1892-72.1175%)","60.3% (59.110140-61.55327%)","91.8% (91.1504060-92.481811%)","1.7 (1.6-1.7)",0.5159038,0.87395543,0.86367431,0.88372648,0.71160569,0.70189227,0.72117525,0.60336538,0.5911014,0.61553266,0.91834586,0.91150406,0.92481811,0.28839431
"MDF","qXRv2",70,"87.0% (85.936-87.96898%)","71.8% (70.8481-72.7633%)","60.8% (59.537045-61.99022%)","91.7% (90.9701270-92.306991%)","1.6 (1.6-1.7)",0.52164469,0.86977716,0.85936023,0.87968983,0.71813097,0.70848102,0.72763263,0.60768732,0.59537045,0.61990222,0.91656752,0.90970127,0.92306991,0.28186903
"MDF","qXRv2",71,"86.6% (85.505-87.56498%)","72.4% (71.4719-73.3742%)","61.2% (59.944514-62.40737%)","91.5% (90.7898970-92.132316%)","1.6 (1.6-1.7)",0.52715283,0.86559889,0.85504956,0.87564975,0.72430669,0.71471907,0.7337418,0.61181296,0.59944514,0.62407368,0.91479029,0.90789897,0.92132316,0.27569331
"MDF","qXRv2",72,"86.2% (85.146-87.22805%)","73.0% (72.0959-73.9849%)","61.6% (60.381279-62.85286%)","91.3% (90.6546810-91.999736%)","1.6 (1.6-1.7)",0.53242824,0.86211699,0.85145984,0.8722805,0.73048241,0.72095939,0.73984871,0.61622698,0.60381279,0.62852857,0.91344893,0.90654681,0.91999736,0.26951759
"MDF","qXRv2",73,"85.8% (84.692-86.80096%)","73.7% (72.7555-74.6299%)","62.1% (60.833280-63.31481%)","91.2% (90.4721520-91.822222%)","1.6 (1.6-1.6)",0.5382467,0.85770659,0.84691602,0.86800963,0.73700769,0.72755544,0.74629878,0.62079973,0.6083328,0.63314814,0.91164601,0.90472152,0.91822222,0.26299231
"MDF","qXRv2",74,"85.2% (84.070-86.21598%)","74.4% (73.4154-75.2746%)","62.5% (61.251332-63.74475%)","90.9% (90.2003330-91.560351%)","1.6 (1.6-1.6)",0.54460822,0.85167131,0.84070364,0.86215979,0.74353298,0.73415413,0.75274622,0.62504259,0.61251332,0.63744746,0.90897436,0.90200333,0.91560351,0.25646702
"MDF","qXRv2",75,"84.3% (83.187-85.38246%)","75.1% (74.1463-75.9881%)","62.9% (61.674322-64.18332%)","90.5% (89.7995890-91.175604%)","1.6 (1.6-1.6)",0.5522886,0.84308264,0.8318733,0.85382463,0.7507574,0.74146297,0.75988129,0.62935366,0.61674322,0.64183321,0.90504284,0.89799589,0.91175604,0.2492426
"MDF","qXRv2",76,"83.7% (82.591-84.81862%)","75.5% (74.6180-76.4483%)","63.2% (61.947685-64.46711%)","90.2% (89.5326310-90.918926%)","1.6 (1.6-1.6)",0.55733126,0.83727948,0.82591338,0.84818624,0.75541832,0.74618016,0.76448276,0.63214161,0.61947685,0.6446711,0.90242205,0.89532631,0.90918926,0.24458168
"MDF","qXRv2",77,"82.8% (81.639-83.91545%)","76.3% (75.4203-77.2302%)","63.7% (62.443840-64.98021%)","89.8% (89.1218260-90.522501%)","1.6 (1.5-1.6)",0.56570985,0.82799443,0.81638779,0.8391545,0.76334188,0.75420272,0.77230192,0.63719185,0.6244384,0.64980215,0.89838179,0.89121826,0.90522501,0.23665812
