"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved"
"MDF","qXRv3",40,"93.9% (93.187-94.63552%)","65.6% (64.6216-66.6425%)",0.390715129313717,0.978807630859993,2.55940946478443,0.543173924629447
"MDF","qXRv3",41,"93.8% (93.065-94.52588%)","66.0% (65.0322-67.0474%)",0.393266050552022,0.978540867418691,2.54280784877391,0.546697870367185
"MDF","qXRv3",42,"93.6% (92.869-94.35031%)","66.3% (65.3372-67.3480%)",0.394933083088544,0.978008387444867,2.53207452811898,0.549504675740527
"MDF","qXRv3",43,"93.5% (92.772-94.26246%)","66.7% (65.6893-67.6949%)",0.397193505279284,0.977808815376925,2.51766453053369,0.552512599517852
"MDF","qXRv3",44,"93.4% (92.650-94.15258%)","67.1% (66.1235-68.1226%)",0.400019589670605,0.977560477066389,2.4998775705546,0.556225312442726
"MDF","qXRv3",45,"93.3% (92.479-93.99864%)","67.6% (66.5579-68.5502%)",0.402773652806488,0.977161502267469,2.48278404764586,0.560026233352743
"MDF","qXRv3",46,"93.1% (92.308-93.84458%)","67.9% (66.8749-68.8622%)",0.404699983118855,0.976728951367704,2.47096625083454,0.562883318327081
"MDF","qXRv3",47,"93.0% (92.211-93.75649%)","68.3% (67.2859-69.2665%)",0.407540787732372,0.976560442548316,2.45374212864478,0.566363160072246
"MDF","qXRv3",48,"92.9% (92.064-93.62428%)","68.6% (67.6031-69.5784%)",0.409587518261085,0.976211360180711,2.44148064922859,0.569176141054012
"MDF","qXRv3",49,"92.6% (91.821-93.40375%)","69.1% (68.1318-70.0981%)",0.413058782760115,0.975637163339192,2.42096292764401,0.573864442690289
"MDF","qXRv3",50,"92.5% (91.699-93.29340%)","69.6% (68.6489-70.6060%)",0.416819079028291,0.975440062223309,2.39912242580461,0.578237840770138
"MDF","qXRv3",51,"92.3% (91.481-93.09462%)","70.0% (69.0485-70.9984%)",0.419464272493149,0.974910067773796,2.38399326373221,0.581843818884595
"MDF","qXRv3",52,"92.1% (91.238-92.87356%)","70.4% (69.4365-71.3792%)",0.42199791575543,0.974309064328791,2.36967995021936,0.585399517398056
"MDF","qXRv3",53,"92.0% (91.116-92.76295%)","71.0% (69.9775-71.9099%)",0.426155337907854,0.974133945267135,2.34656218295739,0.589961682665041
"MDF","qXRv3",54,"91.7% (90.874-92.54159%)","71.2% (70.2598-72.1867%)",0.427903889895312,0.973507895660209,2.33697338027157,0.592667928836391
"MDF","qXRv3",55,"91.6% (90.728-92.40867%)","71.7% (70.6951-72.6134%)",0.431231478909787,0.973231082214328,2.31894017229016,0.596424745753836
"MDF","qXRv3",56,"91.4% (90.510-92.20918%)","72.3% (71.3777-73.2820%)",0.436599547427065,0.972832986609947,2.2904283934629,0.602295930113924
"MDF","qXRv3",57,"91.2% (90.268-91.98734%)","72.8% (71.8251-73.7199%)",0.439945997603032,0.972286049360893,2.27300624496716,0.606323546595225
"MDF","qXRv3",58,"90.7% (89.833-91.58760%)","73.2% (72.2726-74.1577%)",0.442857120167834,0.971184907331997,2.25806463181854,0.610703995017102
"MDF","qXRv3",59,"90.5% (89.567-91.34305%)","73.8% (72.8144-74.6875%)",0.447155085676163,0.970622693990042,2.23636056489854,0.615530784239518
"MDF","qXRv3",60,"90.0% (89.036-90.85338%)","74.2% (73.2504-75.1135%)",0.449852747216675,0.96926914258831,2.22294963449082,0.619993265038115
"MDF","qXRv3",61,"89.6% (88.675-90.51909%)","74.6% (73.7101-75.5624%)",0.453291817942499,0.968423265265144,2.20608438188675,0.624335785075844
"MDF","qXRv3",62,"89.4% (88.410-90.27375%)","75.0% (74.0873-75.9306%)",0.45625784496261,0.967826852210262,2.19174313612503,0.627841203988309
"MDF","qXRv3",63,"89.1% (88.121-90.00591%)","75.6% (74.6534-76.4828%)",0.461104667562486,0.967247830477535,2.16870500419406,0.632900864390433
"MDF","qXRv3",64,"88.7% (87.760-89.67084%)","76.1% (75.1371-76.9543%)",0.465042793365777,0.96644280414365,2.15033974134388,0.637432151615298
"MDF","qXRv3",65,"88.4% (87.375-89.31312%)","76.6% (75.6445-77.4486%)",0.469262624117482,0.96559292040337,2.1310028726039,0.642196310019871
"MDF","qXRv3",66,"88.0% (86.943-88.91031%)","77.0% (76.0813-77.8738%)",0.472706349722796,0.964593044475281,2.11547824687868,0.646482374848179
"MDF","qXRv3",67,"87.5% (86.463-88.46230%)","77.5% (76.5890-78.3678%)",0.476875765626454,0.963507500807833,2.09698221650315,0.65142294922304
"MDF","qXRv3",68,"87.1% (86.104-88.12600%)","78.0% (77.0852-78.8501%)",0.481365679690781,0.962756400236496,2.07742272079384,0.656048620041472
"MDF","qXRv3",69,"86.9% (85.840-87.87923%)","78.5% (77.6524-79.4011%)",0.487057530106681,0.962305087364878,2.05314554890665,0.661064176451025
"MDF","qXRv3",70,"86.4% (85.290-87.36285%)","79.0% (78.1726-79.9060%)",0.49155875204578,0.961074867380232,2.03434481806738,0.666231446397169
"MDF","qXRv3",71,"85.9% (84.787-86.89090%)","79.6% (78.6811-80.3992%)",0.496194246341438,0.959984079410991,2.01533977343197,0.671216124764601
"MDF","qXRv3",72,"85.3% (84.238-86.37354%)","80.1% (79.2253-80.9266%)",0.501274959518992,0.958801550757152,1.99491313302298,0.676572161897881
"MDF","qXRv3",73,"85.1% (83.951-86.10341%)","80.8% (79.9948-81.6715%)",0.510150153948247,0.958428776282889,1.96020719049209,0.68323634339066
"MDF","qXRv3",74,"84.5% (83.426-85.60785%)","81.4% (80.5278-82.1868%)",0.515579348536442,0.957334457000552,1.93956566111243,0.6884538929378
