"Country","DeepLearningSystem","Score","%XpertSaved","accuracy","Sens","Sensitivity","Specificity","PPV","NPV","X","Comment"
"Bangladesh","JF2",0.41,0.4993,0.6255,0.9143,"0.9143(0.9-0.92)","0.5736(0.57-0.58)","0.2782(0.27-0.29)","0.9738(0.97-0.98)",0.4264,""
"Bangladesh","JF2",0.42,0.5019,0.6277,0.9129,"0.9129(0.9-0.92)","0.5764(0.57-0.58)","0.2793(0.27-0.29)","0.9735(0.97-0.98)",0.4236,""
"Bangladesh","JF2",0.43,0.5056,0.6307,0.9107,"0.9107(0.9-0.92)","0.5804(0.57-0.59)","0.2807(0.27-0.29)","0.9731(0.97-0.98)",0.4196,""
"Bangladesh","JF2",0.44,0.5092,0.634,0.9093,"0.9093(0.9-0.92)","0.5845(0.58-0.59)","0.2823(0.27-0.29)","0.9729(0.97-0.98)",0.4155,""
"Bangladesh","JF2",0.45,0.5125,0.6368,0.9077,"0.9077(0.9-0.92)","0.5881(0.58-0.59)","0.2837(0.28-0.29)","0.9726(0.97-0.98)",0.4119,""
"Bangladesh","JF2",0.46,0.5158,0.6396,0.9063,"0.9063(0.9-0.92)","0.5916(0.58-0.6)","0.2852(0.28-0.29)","0.9723(0.97-0.98)",0.4084,""
"Bangladesh","JF2",0.47,0.5186,0.642,0.905,"0.905(0.9-0.91)","0.5947(0.59-0.6)","0.2865(0.28-0.29)","0.9721(0.97-0.97)",0.4053,""
"Bangladesh","JF2",0.48,0.522,0.6441,0.9006,"0.9006(0.89-0.91)","0.598(0.59-0.6)","0.2871(0.28-0.3)","0.971(0.97-0.97)",0.402,""
"Bangladesh","JF2",0.49,0.5253,0.6462,0.8968,"0.8968(0.89-0.91)","0.6012(0.59-0.61)","0.2879(0.28-0.3)","0.9701(0.97-0.97)",0.3988,""
"Bangladesh","JF2",0.5,0.5277,0.6484,0.896,"0.896(0.89-0.91)","0.6039(0.6-0.61)","0.2891(0.28-0.3)","0.97(0.97-0.97)",0.3961,""
"Bangladesh","JF2",0.51,0.5309,0.6512,0.8946,"0.8946(0.88-0.9)","0.6074(0.6-0.61)","0.2906(0.28-0.3)","0.9697(0.97-0.97)",0.3926,""
"Bangladesh","JF2",0.52,0.5346,0.6544,0.893,"0.893(0.88-0.9)","0.6115(0.6-0.62)","0.2924(0.28-0.3)","0.9695(0.97-0.97)",0.3885,""
"Bangladesh","JF2",0.53,0.5374,0.6571,0.8927,"0.8927(0.88-0.9)","0.6147(0.61-0.62)","0.2941(0.29-0.3)","0.9696(0.97-0.97)",0.3853,""
"Bangladesh","JF2",0.54,0.5401,0.6591,0.8905,"0.8905(0.88-0.9)","0.6175(0.61-0.62)","0.2951(0.29-0.3)","0.9691(0.97-0.97)",0.3825,""
"Bangladesh","JF2",0.55,0.5438,0.6621,0.8883,"0.8883(0.88-0.9)","0.6215(0.61-0.63)","0.2967(0.29-0.31)","0.9687(0.97-0.97)",0.3785,""
"Bangladesh","JF2",0.56,0.547,0.6648,0.8864,"0.8864(0.88-0.9)","0.6249(0.62-0.63)","0.2982(0.29-0.31)","0.9684(0.97-0.97)",0.3751,""
"Bangladesh","JF2",0.57,0.5505,0.6678,0.8848,"0.8848(0.87-0.89)","0.6287(0.62-0.64)","0.2999(0.29-0.31)","0.9681(0.96-0.97)",0.3713,"Radiologists' specificity = 0.627(0.621-0.634)"
"Bangladesh","JF2",0.58,0.5537,0.6701,0.882,"0.882(0.87-0.89)","0.632(0.63-0.64)","0.3012(0.29-0.31)","0.9675(0.96-0.97)",0.368,""
"Bangladesh","JF2",0.59,0.5567,0.6722,0.879,"0.879(0.87-0.89)","0.635(0.63-0.64)","0.3022(0.29-0.31)","0.9669(0.96-0.97)",0.365,""
"Bangladesh","JF2",0.6,0.5604,0.6749,0.8758,"0.8758(0.86-0.89)","0.6388(0.63-0.65)","0.3035(0.29-0.31)","0.9662(0.96-0.97)",0.3612,""
"Bangladesh","JF2",0.61,0.5643,0.6781,0.8736,"0.8736(0.86-0.88)","0.643(0.64-0.65)","0.3055(0.3-0.31)","0.9659(0.96-0.97)",0.357,""
"Bangladesh","JF2",0.62,0.5676,0.681,0.8722,"0.8722(0.86-0.88)","0.6467(0.64-0.65)","0.3074(0.3-0.32)","0.9657(0.96-0.97)",0.3533,""
"Bangladesh","JF2",0.63,0.5711,0.6837,0.8695,"0.8695(0.86-0.88)","0.6504(0.64-0.66)","0.3089(0.3-0.32)","0.9652(0.96-0.97)",0.3496,""
"Bangladesh","JF2",0.64,0.5746,0.6864,0.8667,"0.8667(0.86-0.88)","0.6539(0.65-0.66)","0.3105(0.3-0.32)","0.9647(0.96-0.97)",0.3461,""
"Bangladesh","JF2",0.65,0.5777,0.6887,0.8643,"0.8643(0.85-0.88)","0.6572(0.65-0.66)","0.3119(0.3-0.32)","0.9642(0.96-0.97)",0.3428,""
"Bangladesh","JF2",0.66,0.5807,0.6909,0.8613,"0.8613(0.85-0.87)","0.6602(0.65-0.67)","0.3131(0.3-0.32)","0.9636(0.96-0.97)",0.3398,""
"Bangladesh","JF2",0.67,0.5844,0.6934,0.8577,"0.8577(0.85-0.87)","0.6639(0.66-0.67)","0.3145(0.31-0.32)","0.9629(0.96-0.97)",0.3361,""
"Bangladesh","JF2",0.68,0.5882,0.6962,0.8545,"0.8545(0.84-0.87)","0.6678(0.66-0.67)","0.3162(0.31-0.33)","0.9623(0.96-0.97)",0.3322,""
"Bangladesh","JF2",0.69,0.5923,0.6992,0.8509,"0.8509(0.84-0.86)","0.672(0.67-0.68)","0.318(0.31-0.33)","0.9616(0.96-0.96)",0.328,""
"Bangladesh","JF2",0.7,0.5967,0.7026,0.8476,"0.8476(0.84-0.86)","0.6766(0.67-0.68)","0.3203(0.31-0.33)","0.9611(0.96-0.96)",0.3234,""
"Bangladesh","JF2",0.71,0.6016,0.7065,0.8441,"0.8441(0.83-0.86)","0.6817(0.68-0.69)","0.3229(0.31-0.33)","0.9605(0.96-0.96)",0.3183,""
"Bangladesh","JF2",0.72,0.6064,0.7097,0.8389,"0.8389(0.83-0.85)","0.6865(0.68-0.69)","0.3248(0.32-0.33)","0.9595(0.96-0.96)",0.3135,""
"Bangladesh","JF2",0.73,0.6114,0.7131,0.8337,"0.8337(0.82-0.85)","0.6914(0.68-0.7)","0.3269(0.32-0.34)","0.9586(0.96-0.96)",0.3086,""
"Bangladesh","JF2",0.74,0.6162,0.7169,0.8304,"0.8304(0.82-0.84)","0.6965(0.69-0.7)","0.3298(0.32-0.34)","0.9581(0.95-0.96)",0.3035,""
"Bangladesh","JF2",0.75,0.6211,0.7206,0.8263,"0.8263(0.81-0.84)","0.7016(0.7-0.71)","0.3323(0.32-0.34)","0.9574(0.95-0.96)",0.2984,""
"Bangladesh","JF2",0.76,0.6253,0.724,0.8239,"0.8239(0.81-0.84)","0.7061(0.7-0.71)","0.3351(0.33-0.34)","0.9571(0.95-0.96)",0.2939,""
"Bangladesh","JF2",0.77,0.6309,0.7279,0.8184,"0.8184(0.81-0.83)","0.7117(0.71-0.72)","0.3379(0.33-0.35)","0.9561(0.95-0.96)",0.2883,""
"Bangladesh","JF2",0.78,0.6364,0.7315,0.8121,"0.8121(0.8-0.82)","0.717(0.71-0.72)","0.3404(0.33-0.35)","0.955(0.95-0.96)",0.283,""
"Bangladesh","JF2",0.79,0.6425,0.7351,0.8039,"0.8039(0.79-0.82)","0.7227(0.72-0.73)","0.3426(0.33-0.35)","0.9535(0.95-0.96)",0.2773,""
"Bangladesh","JF2",0.8,0.6487,0.7388,0.7955,"0.7955(0.78-0.81)","0.7286(0.72-0.73)","0.3451(0.33-0.36)","0.952(0.95-0.96)",0.2714,""
"Bangladesh","JF2",0.81,0.6552,0.7429,0.7875,"0.7875(0.77-0.8)","0.7348(0.73-0.74)","0.3481(0.34-0.36)","0.9506(0.95-0.95)",0.2652,""
"Bangladesh","JF2",0.82,0.6611,0.7469,0.7815,"0.7815(0.77-0.79)","0.7406(0.73-0.75)","0.3514(0.34-0.36)","0.9496(0.95-0.95)",0.2594,""
"Bangladesh","JF2",0.83,0.6694,0.7507,0.7668,"0.7668(0.75-0.78)","0.7479(0.74-0.75)","0.3535(0.34-0.36)","0.9469(0.94-0.95)",0.2521,""
"Bangladesh","JF2",0.84,0.678,0.7564,0.757,"0.757(0.74-0.77)","0.7562(0.75-0.76)","0.3583(0.35-0.37)","0.9454(0.94-0.95)",0.2438,""
"Bangladesh","JF2",0.85,0.6873,0.7609,0.7417,"0.7417(0.73-0.76)","0.7644(0.76-0.77)","0.3614(0.35-0.37)","0.9427(0.94-0.95)",0.2356,""
"Bangladesh","JF2",0.86,0.6966,0.7668,0.7305,"0.7305(0.72-0.74)","0.7734(0.77-0.78)","0.3669(0.36-0.38)","0.941(0.94-0.94)",0.2266,""
"Bangladesh","JF2",0.87,0.7073,0.7719,0.7119,"0.7119(0.7-0.73)","0.7827(0.78-0.79)","0.3706(0.36-0.38)","0.9379(0.93-0.94)",0.2173,""
"Bangladesh","JF2",0.88,0.7191,0.7777,0.6925,"0.6925(0.68-0.71)","0.7931(0.79-0.8)","0.3756(0.36-0.39)","0.9348(0.93-0.94)",0.2069,""
"Bangladesh","JF2",0.89,0.7318,0.784,0.6715,"0.6715(0.66-0.69)","0.8043(0.8-0.81)","0.3815(0.37-0.39)","0.9316(0.93-0.94)",0.1957,""
"Bangladesh","JF2",0.9,0.7457,0.7901,0.6458,"0.6458(0.63-0.66)","0.816(0.81-0.82)","0.3869(0.37-0.4)","0.9276(0.92-0.93)",0.184,""
"Bangladesh","JF2",0.91,0.76,0.7966,0.6202,"0.6202(0.6-0.64)","0.8283(0.82-0.83)","0.3937(0.38-0.41)","0.9238(0.92-0.93)",0.1717,""
"Bangladesh","JF2",0.92,0.7785,0.8038,0.5833,"0.5833(0.57-0.6)","0.8435(0.84-0.85)","0.4012(0.39-0.41)","0.9184(0.91-0.92)",0.1565,""
"Bangladesh","JF2",0.93,0.7983,0.8119,0.5448,"0.5448(0.53-0.56)","0.8599(0.86-0.86)","0.4115(0.4-0.43)","0.9131(0.91-0.92)",0.1401,""
"Bangladesh","JF2",0.94,0.8221,0.8213,0.4975,"0.4975(0.48-0.51)","0.8795(0.88-0.88)","0.4261(0.41-0.44)","0.9069(0.9-0.91)",0.1205,""
"Bangladesh","JF2",0.95,0.8493,0.8295,0.435,"0.435(0.42-0.45)","0.9004(0.9-0.9)","0.4399(0.42-0.46)","0.8986(0.89-0.9)",0.0996,""
"Bangladesh","JF2",0.96,0.8792,0.8371,0.3618,"0.3618(0.35-0.38)","0.9225(0.92-0.93)","0.4564(0.44-0.47)","0.8894(0.89-0.89)",0.0775,"Radiologists' specificity = 0.89(0.886-0.894)"
"Bangladesh","JF2",0.97,0.9136,0.8449,0.2747,"0.2747(0.26-0.29)","0.9474(0.94-0.95)","0.4844(0.46-0.51)","0.879(0.87-0.88)",0.0526,""
"Bangladesh","JF2",0.98,0.9515,0.8492,0.1641,"0.1641(0.15-0.18)","0.9723(0.97-0.97)","0.5159(0.49-0.54)","0.8661(0.86-0.87)",0.0276999999999999,""
"Bangladesh","JF2",0.99,0.9875,0.8489,0.0453,"0.0453(0.04-0.05)","0.9934(0.99-0.99)","0.5533(0.5-0.61)","0.8527(0.85-0.86)",0.00660000000000005,""
"Bangladesh","JF2",1,1,0.8476,0,"0(0-0)","1(1-1)","NaN(0-1)","0.8476(0.84-0.85)",0,""
