"Country","DeepLearningSystem","Score","%XpertSaved","accuracy","Sens","Sensitivity","Specificity","PPV","NPV","X","Comment"
"Bangladesh","JF1",0.33,0.3705,0.5118,0.9637,"0.9637(0.96-0.97)","0.4306(0.42-0.44)","0.2333(0.23-0.24)","0.9851(0.98-0.99)",0.5694,""
"Bangladesh","JF1",0.34,0.3739,0.515,0.9631,"0.9631(0.96-0.97)","0.4345(0.43-0.44)","0.2344(0.23-0.24)","0.985(0.98-0.99)",0.5655,""
"Bangladesh","JF1",0.35,0.3767,0.5177,0.9629,"0.9629(0.96-0.97)","0.4377(0.43-0.44)","0.2354(0.23-0.24)","0.985(0.98-0.99)",0.5623,""
"Bangladesh","JF1",0.36,0.3791,0.5199,0.9618,"0.9618(0.96-0.97)","0.4404(0.43-0.45)","0.2361(0.23-0.24)","0.9846(0.98-0.99)",0.5596,""
"Bangladesh","JF1",0.37,0.3826,0.5231,0.961,"0.961(0.95-0.97)","0.4444(0.44-0.45)","0.2372(0.23-0.24)","0.9844(0.98-0.99)",0.5556,""
"Bangladesh","JF1",0.38,0.3854,0.5255,0.9596,"0.9596(0.95-0.97)","0.4474(0.44-0.45)","0.2379(0.23-0.24)","0.984(0.98-0.99)",0.5526,""
"Bangladesh","JF1",0.39,0.3878,0.5276,0.9588,"0.9588(0.95-0.96)","0.4501(0.44-0.46)","0.2386(0.23-0.25)","0.9838(0.98-0.99)",0.5499,""
"Bangladesh","JF1",0.4,0.3903,0.5299,0.9579,"0.9579(0.95-0.96)","0.4529(0.45-0.46)","0.2394(0.23-0.25)","0.9836(0.98-0.99)",0.5471,""
"Bangladesh","JF1",0.41,0.3922,0.5317,0.9579,"0.9579(0.95-0.96)","0.4551(0.45-0.46)","0.2402(0.23-0.25)","0.9837(0.98-0.99)",0.5449,""
"Bangladesh","JF1",0.42,0.395,0.5344,0.9571,"0.9571(0.95-0.96)","0.4583(0.45-0.47)","0.2411(0.23-0.25)","0.9835(0.98-0.99)",0.5417,""
"Bangladesh","JF1",0.43,0.3978,0.5366,0.9555,"0.9555(0.95-0.96)","0.4613(0.45-0.47)","0.2418(0.23-0.25)","0.9829(0.98-0.99)",0.5387,""
"Bangladesh","JF1",0.44,0.4003,0.539,0.9549,"0.9549(0.95-0.96)","0.4642(0.46-0.47)","0.2427(0.24-0.25)","0.9828(0.98-0.99)",0.5358,""
"Bangladesh","JF1",0.45,0.4025,0.5411,0.9547,"0.9547(0.95-0.96)","0.4667(0.46-0.47)","0.2435(0.24-0.25)","0.9828(0.98-0.99)",0.5333,""
"Bangladesh","JF1",0.46,0.4053,0.5437,0.9541,"0.9541(0.95-0.96)","0.4699(0.46-0.48)","0.2445(0.24-0.25)","0.9828(0.98-0.99)",0.5301,""
"Bangladesh","JF1",0.47,0.4075,0.5457,0.9536,"0.9536(0.95-0.96)","0.4724(0.47-0.48)","0.2452(0.24-0.25)","0.9826(0.98-0.99)",0.5276,""
"Bangladesh","JF1",0.48,0.4097,0.5478,0.953,"0.953(0.95-0.96)","0.4749(0.47-0.48)","0.246(0.24-0.25)","0.9825(0.98-0.98)",0.5251,""
"Bangladesh","JF1",0.49,0.4119,0.55,0.953,"0.953(0.95-0.96)","0.4775(0.47-0.48)","0.247(0.24-0.25)","0.9826(0.98-0.99)",0.5225,""
"Bangladesh","JF1",0.5,0.4144,0.5522,0.9522,"0.9522(0.94-0.96)","0.4803(0.47-0.49)","0.2478(0.24-0.26)","0.9824(0.98-0.98)",0.5197,""
"Bangladesh","JF1",0.51,0.4169,0.5546,0.9517,"0.9517(0.94-0.96)","0.4832(0.48-0.49)","0.2487(0.24-0.26)","0.9823(0.98-0.98)",0.5168,""
"Bangladesh","JF1",0.52,0.4191,0.5567,0.9514,"0.9514(0.94-0.96)","0.4857(0.48-0.49)","0.2496(0.24-0.26)","0.9823(0.98-0.98)",0.5143,""
"Bangladesh","JF1",0.53,0.4215,0.5588,0.9506,"0.9506(0.94-0.96)","0.4884(0.48-0.5)","0.2504(0.24-0.26)","0.9821(0.98-0.98)",0.5116,"Radiologists' specificity = 0.461(0.454-0.467)"
"Bangladesh","JF1",0.54,0.4236,0.5607,0.9498,"0.9498(0.94-0.96)","0.4907(0.48-0.5)","0.2511(0.24-0.26)","0.9819(0.98-0.98)",0.5093,""
"Bangladesh","JF1",0.55,0.4258,0.5628,0.9495,"0.9495(0.94-0.96)","0.4932(0.49-0.5)","0.252(0.24-0.26)","0.9819(0.98-0.98)",0.5068,""
"Bangladesh","JF1",0.56,0.4281,0.5651,0.9495,"0.9495(0.94-0.96)","0.4959(0.49-0.5)","0.253(0.25-0.26)","0.982(0.98-0.98)",0.5041,""
"Bangladesh","JF1",0.57,0.4303,0.5672,0.9492,"0.9492(0.94-0.96)","0.4985(0.49-0.51)","0.2539(0.25-0.26)","0.982(0.98-0.98)",0.5015,""
"Bangladesh","JF1",0.58,0.4322,0.5691,0.9492,"0.9492(0.94-0.96)","0.5008(0.49-0.51)","0.2548(0.25-0.26)","0.9821(0.98-0.98)",0.4992,""
"Bangladesh","JF1",0.59,0.4346,0.5712,0.9481,"0.9481(0.94-0.96)","0.5034(0.5-0.51)","0.2555(0.25-0.26)","0.9818(0.98-0.98)",0.4966,""
"Bangladesh","JF1",0.6,0.4368,0.5729,0.9465,"0.9465(0.94-0.95)","0.5057(0.5-0.51)","0.2561(0.25-0.26)","0.9813(0.98-0.98)",0.4943,""
"Bangladesh","JF1",0.61,0.4389,0.5749,0.9462,"0.9462(0.94-0.95)","0.5082(0.5-0.52)","0.257(0.25-0.26)","0.9813(0.98-0.98)",0.4918,""
"Bangladesh","JF1",0.62,0.4413,0.5772,0.9459,"0.9459(0.94-0.95)","0.5109(0.5-0.52)","0.258(0.25-0.27)","0.9813(0.98-0.98)",0.4891,""
"Bangladesh","JF1",0.63,0.4438,0.5795,0.9451,"0.9451(0.94-0.95)","0.5138(0.51-0.52)","0.259(0.25-0.27)","0.9812(0.98-0.98)",0.4862,""
"Bangladesh","JF1",0.64,0.4455,0.5812,0.9451,"0.9451(0.94-0.95)","0.5158(0.51-0.52)","0.2598(0.25-0.27)","0.9812(0.98-0.98)",0.4842,""
"Bangladesh","JF1",0.65,0.4476,0.5829,0.944,"0.944(0.94-0.95)","0.518(0.51-0.52)","0.2604(0.25-0.27)","0.9809(0.98-0.98)",0.482,""
